column,dtype,n,n_missing,pct_missing,n_unique,is_feature_candidate,is_global
slv_adj_close_roll_mean63,float64,9283,2323,0.2502423785414198,6923,True,True
slv_open_dist_max63,float64,9283,2323,0.2502423785414198,4161,True,True
slv_open_dist_min63,float64,9283,2323,0.2502423785414198,4270,True,True
slv_high_dist_min63,float64,9283,2323,0.2502423785414198,4209,True,True
slv_high_dist_max63,float64,9283,2323,0.2502423785414198,4162,True,True
slv_open_roll_std63,float64,9283,2323,0.2502423785414198,6940,True,True
slv_open_roll_mean63,float64,9283,2323,0.2502423785414198,6915,True,True
slv_open_logret_5,float64,9283,2314,0.2492728643757406,6618,True,True
slv_high_logret_5,float64,9283,2314,0.2492728643757406,6615,True,True
slv_adj_close_logret_5,float64,9283,2314,0.2492728643757406,6580,True,True
slv_volume_logret_5,float64,9283,2314,0.2492728643757406,6802,True,True
slv_close_lag5,float64,9283,2314,0.2492728643757406,2248,True,True
slv_adj_close_lag5,float64,9283,2314,0.2492728643757406,2248,True,True
slv_volume_lag5,float64,9283,2314,0.2492728643757406,4728,True,True
slv_open_lag5,float64,9283,2314,0.2492728643757406,2287,True,True
slv_low_lag5,float64,9283,2314,0.2492728643757406,2233,True,True
slv_close_logret_5,float64,9283,2314,0.2492728643757406,6580,True,True
slv_high_lag5,float64,9283,2314,0.2492728643757406,2291,True,True
slv_low_logret_5,float64,9283,2314,0.2492728643757406,6578,True,True
slv_close_dist_min21,float64,9283,2313,0.24916514057955402,4122,True,True
slv_close_dist_max21,float64,9283,2313,0.24916514057955402,3986,True,True
slv_open_dist_min21,float64,9283,2313,0.24916514057955402,4142,True,True
slv_open_dist_max21,float64,9283,2313,0.24916514057955402,3989,True,True
slv_open_roll_std21,float64,9283,2313,0.24916514057955402,6946,True,True
slv_close_roll_std21,float64,9283,2313,0.24916514057955402,6947,True,True
slv_high_roll_mean21,float64,9283,2313,0.24916514057955402,6867,True,True
slv_high_roll_std21,float64,9283,2313,0.24916514057955402,6947,True,True
slv_high_dist_max21,float64,9283,2313,0.24916514057955402,3967,True,True
slv_high_dist_min21,float64,9283,2313,0.24916514057955402,4060,True,True
slv_low_dist_max21,float64,9283,2313,0.24916514057955402,3908,True,True
slv_low_dist_min21,float64,9283,2313,0.24916514057955402,4174,True,True
slv_adj_close_roll_std21,float64,9283,2313,0.24916514057955402,6947,True,True
slv_adj_close_roll_mean21,float64,9283,2313,0.24916514057955402,6857,True,True
slv_volume_roll_std21,float64,9283,2313,0.24916514057955402,6970,True,True
slv_low_roll_mean21,float64,9283,2313,0.24916514057955402,6866,True,True
slv_adj_close_dist_max21,float64,9283,2313,0.24916514057955402,3986,True,True
slv_close_roll_mean21,float64,9283,2313,0.24916514057955402,6857,True,True
slv_volume_dist_max21,float64,9283,2313,0.24916514057955402,4509,True,True
slv_volume_roll_mean21,float64,9283,2313,0.24916514057955402,6961,True,True
slv_volume_dist_min21,float64,9283,2313,0.24916514057955402,4415,True,True
slv_open_roll_mean21,float64,9283,2313,0.24916514057955402,6872,True,True
slv_low_roll_std21,float64,9283,2313,0.24916514057955402,6944,True,True
slv_adj_close_dist_min21,float64,9283,2313,0.24916514057955402,4122,True,True
slv_close_logret_1,float64,9283,2310,0.2488419691909943,4648,True,True
slv_volume_lag1,float64,9283,2310,0.2488419691909943,4732,True,True
slv_low_lag1,float64,9283,2310,0.2488419691909943,2236,True,True
slv_high_lag1,float64,9283,2310,0.2488419691909943,2292,True,True
slv_high_logret_1,float64,9283,2310,0.2488419691909943,4662,True,True
slv_low_diff_1,float64,9283,2310,0.2488419691909943,1645,True,True
slv_volume_logret_1,float64,9283,2310,0.2488419691909943,4803,True,True
slv_close_lag1,float64,9283,2310,0.2488419691909943,2249,True,True
