fecha,umap_abs_1,umap_abs_2,cluster_abs,umap_chg_1,umap_chg_2,cluster_chg
2000-05-07,-7.341714,2.9607496,5,4.239324,6.00842,3
2000-05-08,-7.803042,3.3961914,5,4.2377996,6.0061855,3
2000-05-09,-7.7899313,3.4217656,5,4.2386003,6.008072,3
2000-05-10,-7.787298,3.4309402,5,4.237446,6.006225,3
2000-05-11,-7.7791286,3.452027,5,6.8789597,5.303974,3
2000-05-12,-7.7735124,3.453353,5,6.8003187,5.300179,3
2000-05-13,-7.694588,3.4938526,5,7.6171236,5.5314584,3
2000-05-14,-7.233232,3.0235014,5,4.2334914,6.009551,3
2000-05-15,-7.706736,3.5164623,5,4.2431965,6.019376,3
2000-05-16,-7.7452655,3.4897616,5,4.23903,6.028872,3
2000-05-17,-7.7492228,3.478005,5,4.246584,6.0253773,3
2000-05-18,-7.7395735,3.500551,5,4.23313,6.016424,3
2000-05-19,-7.72122,3.5144212,5,4.2467093,6.017244,3
2000-05-20,-7.667166,3.5453975,5,4.266177,5.9991794,3
2000-05-21,-7.246032,3.0400841,5,4.258411,6.0130835,3
2000-05-22,-7.6994734,3.5368383,5,7.040274,5.2273927,3
2000-05-23,-7.6939683,3.5514996,5,8.219581,4.7384496,3
2000-05-24,-7.711762,3.5430965,5,8.234196,4.6686134,3
2000-05-25,-7.6832185,3.5875225,5,8.226531,4.6458397,3
2000-05-26,-7.6773963,3.578149,5,8.207566,4.755888,3
2000-05-27,-7.599497,3.5946968,5,8.199078,4.796497,3
2000-05-28,-7.1675353,3.0716052,5,8.205771,4.8104844,3
2000-05-29,-7.660398,3.5697505,5,8.241642,4.787651,3
2000-05-30,-7.696456,3.5509572,5,8.462042,5.109309,3
2000-05-31,-7.7433543,3.5631542,5,8.360565,4.9143877,3
2000-06-01,-7.5037475,3.76202,5,9.164067,0.107607804,3
2000-06-02,-7.488295,3.768098,5,9.161189,0.09328182,3
2000-06-03,-7.450095,3.6746545,5,9.153428,0.097781956,3
2000-06-04,-7.105934,3.1222453,5,9.148774,0.09393298,3
2000-06-05,-7.090033,3.1251404,5,12.487594,3.1351404,3
2000-06-06,-7.526326,3.7767212,5,9.153247,0.08401295,3
2000-06-07,-7.508371,3.7795036,5,9.154688,0.08138813,3
2000-06-08,-7.5171194,3.783306,5,9.15519,0.07999885,3
2000-06-09,-7.5291343,3.761175,5,9.15768,0.053273935,3
2000-06-10,-7.4518504,3.6854784,5,9.17799,-0.016052933,3
2000-06-11,-7.1004047,3.1130095,5,9.181387,0.00059419195,3
2000-06-12,-7.502586,3.7652187,5,9.1739025,0.03849458,3
2000-06-13,-7.4885035,3.793861,5,9.185824,0.0020623044,3
2000-06-14,-7.499174,3.7768147,5,9.195574,-0.019183587,3
2000-06-15,-7.505465,3.769737,5,9.324752,-0.4869757,3
2000-06-16,-7.481361,3.7918308,5,9.22729,-0.26413012,3
2000-06-17,-7.4013443,3.6926937,5,9.209613,-0.19738501,3
2000-06-18,-7.078115,3.127522,5,9.210158,-0.2130663,3
2000-06-19,-7.4447093,3.7784956,5,9.223483,-0.2581392,3
2000-06-20,-7.468996,3.7957892,5,9.185289,-0.07993607,3
2000-06-21,-7.4804816,3.8100572,5,9.17381,0.051382758,3
2000-06-22,-7.500949,3.7922573,5,8.536899,4.882113,3
2000-06-23,-7.476428,3.7961354,5,8.554835,5.1435995,3
2000-06-24,-7.3738313,3.6753132,5,8.512898,5.2766256,3
2000-06-25,-7.066321,3.1294792,5,8.494725,5.3345456,3
2000-06-26,-7.072183,3.1351347,5,8.497713,5.3307643,3
2000-06-27,-7.4738193,3.799005,5,8.50821,5.287413,3
2000-06-28,-7.460482,3.8243477,5,8.498661,5.272426,3
2000-06-29,-7.505467,3.7742288,5,8.502717,5.281412,3
2000-06-30,-7.4793396,3.810345,5,8.50597,5.184652,3
2000-07-01,-7.3874207,3.6967618,5,8.560738,5.1209903,3
2000-07-02,-7.0769987,3.1294804,5,8.559816,5.123152,3
2000-07-03,-7.0650315,3.1331847,5,12.547288,3.641455,3
2000-07-04,-7.451065,3.7789054,5,8.696869,4.976483,3
2000-07-05,-7.466439,3.8041937,5,8.658748,5.0010686,3
